group_review,id_revue,issn_p,issn_e
G2,1024,1768-9260,2428-3606
G2,1025,1250-0739,2437-2374
G2,1029,1286-5702,1961-8654
G2,1030,0766-1177,2117-6272
G2,1031,1766-2923,2111-4528
G2,1031,1164-5385,2267-3393
G2,1033,2108-8845,2108-6915
G2,1034,,2100-0123
G2,1034,,2100-0123
G2,1036,0995-838X,2269-6032
G2,1036,0035-2349,1775-3864
G2,1037,0988-1824,1968-3936
G2,1038,1157-1330,2263-5947
G2,1038,2826-097X,2800-6194
G2,1038,0755-7817,2263-5939
G2,1038,0755-7906,2263-5904
G2,1039,1635-3544,2265-7762
G2,1040,0004-3958,2111-4552
G2,1041,,2108-6796
G2,1041,,2108-6796
G2,1042,1157-6790,1953-7999
G2,1043,,1286-4986
G2,1043,,1286-4986
G2,1044,,2107-0806
G2,1044,,2107-0806
G2,1045,,1764-7193
G2,1045,,1764-7193
G2,1046,0399-0826,2108-6443
G2,1046,0003-391X,2262-2292
G2,1048,0183-7478,1969-6329
G2,1050,,1565-8961
G2,1051,,1661-4941
G2,1052,1246-8185,2108-6354
G2,1053,1167-8437,2102-5614
G2,1054,1279-7952,1965-0582
G2,1056,1257-0222,2102-5975
G2,1058,0759-1063,2070-2779
G2,1059,2304-8298,2075-5287
G2,1060,1271-6669,2102-5916
G2,1061,0317-5065,1923-2713
G2,1062,0990-9141,1760-7906
G2,1063,1270-9247,2075-5325
G2,1064,,2107-0199
G2,1065,,1784-5092
G2,1067,1257-127X,
G2,1067,2267-7143,1965-0809
G2,1068,0009-8140,2032-0442
G2,1069,,1958-5322
G2,1069,,1958-5322
G2,1070,1189-3788,1920-7344
G2,1071,,1718-5556
G2,1072,1422-0857,1663-4837
G2,1073,,2108-6907
G2,1073,,2108-6907
G2,1074,,1638-1718
G2,1074,,1638-1718
G2,1075,1110-5097,2090-7273
G2,1075,,
G2,1076,1260-2116,2102-5525
G2,1077,1240-1439,1969-6337
G2,1078,1867-139X,1867-8521
G2,1079,,1969-6191
G2,1079,,1969-6191
G2,1080,,2102-5886
G2,1081,,2104-3736
G2,1082,0984-2632,2107-0784
G2,1083,0764-8928,1760-849X
G2,1084,1624-4184,2105-2522
G2,1085,1639-6073,3038-8759
G2,1085,,2101-0609
G2,1086,,2107-027X
G2,1086,,2107-027X
G2,1087,1275-7519,2108-6540
G2,1088,1423-3983,1663-4438
G2,1089,0294-0442,1969-6108
G2,1090,,2105-2557
G2,1090,,2105-2557
G2,1091,1273-3830,1965-0655
G2,1092,,1760-4761
G2,1092,,1760-4761
G2,1093,1146-6472,2107-0733
G2,1094,1242-8345,2108-6605
G2,1095,,1760-7914
G2,1095,,1760-7914
G2,1096,,1958-5500
G2,1096,,1958-5500
G2,1097,0249-6739,2104-3795
G2,1097,0005-3147,2513-6992
G2,1099,,1958-573X
G2,1099,,1958-573X
G2,1101,1167-492X,3039-2926
